date, pm25, pm10, o3, no2, so2, co
2023/4/23, 68, 38, 40, 4, 3, 4
2023/4/24, 48, 43, 35, 10, 3, 6
2023/4/25, 70, 59, 56, 9, 4, 7
2023/4/26, 129, 52, 79, 7, 3, 5
2023/4/27, 119, 49, 70, 9, 3, 6
2023/4/28, 102, 61, 33, 12, 3, 7
2023/4/29, 118, 81, 69, 9, 4, 4
2023/4/30, 84, 64, 89, 9, 5, 3
2023/5/1, 76, 49, 63, 3, 3, 2
2023/5/2, 46, 39, 47, 3, 3, 3
2023/5/3, 46, 25, 44, 5, 3, 3
2023/5/4, 34, 29, 37, 9, 3, 5
2023/5/5, 28, 32, 45, 8, 2, 5
2023/5/6, 61, 17, 38, 9, 2, 3
